target,gr_code,model,gdt_ts,lddt,tm_score,inf_all,global_rmsd,clashscore
R1107,029,1,35.145,0.4246147267547561,0.2762,0.57,17.15,0.45
R1107,029,2,34.42,0.4464242225154761,0.2801,0.64,17.1,0.0
R1107,035,1,19.203,0.3427700027752133,0.2326,0.46,20.6,1.36
R1107,035,2,19.203,0.3361038269626139,0.1928,0.47,22.06,0.9
R1107,035,3,19.928,0.3475855643594637,0.2106,0.49,21.47,1.81
R1107,035,4,18.478,0.3204026324881204,0.1507,0.47,22.82,2.26
R1107,035,5,18.478,0.3391070042987489,0.2407,0.51,21.8,3.17
R1107,054,1,36.232,0.5802277374081772,0.3683,0.83,7.74,0.45
R1107,054,2,46.014,0.6198424924814372,0.3718,0.82,6.43,1.36
R1107,054,3,43.116,0.5795395977639709,0.3739,0.78,8.13,1.36
R1107,054,4,38.406,0.5985413138653058,0.3681,0.84,7.51,10.85
R1107,054,5,40.217,0.5720465216381688,0.3958,0.76,7.81,0.9
R1107,076,1,20.652,0.3700449697841563,0.232,0.55,20.26,7.69
R1107,076,2,23.188,0.4075499963185945,0.2553,0.62,19.96,7.69
R1107,076,3,22.464,0.3891854465544876,0.2987,0.57,18.98,7.24
R1107,076,4,19.928,0.3835953738892066,0.2293,0.57,22.94,6.78
R1107,076,5,22.826,0.406659379371669,0.228,0.63,18.23,9.05
R1107,081,1,41.304,0.5276232846066277,0.3328,0.76,14.08,0.45
R1107,081,2,41.304,0.5261308994523202,0.3296,0.75,14.1,0.45
R1107,081,3,42.754,0.5264537303965157,0.3225,0.77,13.1,1.36
R1107,081,4,40.217,0.4810237705521542,0.3243,0.76,8.8,0.45
R1107,091,1,13.406,0.2235193670248013,0.1538,0.27,58.64,1.39
R1107,091,2,15.58,0.2113551536845205,0.1407,0.22,62.82,4.63
R1107,091,3,14.13,0.2188992031173009,0.1345,0.27,63.0,0.93
R1107,091,4,16.304,0.2245430809399478,0.1521,0.22,67.23,0.93
R1107,091,5,18.478,0.2260694482989074,0.1633,0.22,67.98,0.93
